signal_id,symbol,signal_date,entry_price,grade,score,stop_loss,target_price,status,exit_date,exit_price,pnl_pct,days_held,signal_type,notes,signal_time,version,scanner
CONSOL_MIDWESTLTD_20251114_5_14_LIVE,MIDWESTLTD,2025-11-14,1160.0,C,1,1020.8,1293.42,ACTIVE,,0,0,0,CONSOLIDATION,,,,
LISTING_ENRIN_20260302_0507,ENRIN,2026-03-02,2985.0,LISTING_BREAKOUT_LOW_VOL,80,2746.2,3269.0,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 680,155 vs avg 477,945 (need 1.5x); Low volume vs listing day: 0.2x (need 1.2x)",05:07:30,2.1.0,listing_day
WATCHLIST_MWL_20260302,MWL,2026-03-02,0.0,WATCHLIST,0,0.0,265.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260302,SANATHAN,2026-03-02,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
LISTING_SHADOWFAX_20260302_0512,SHADOWFAX,2026-03-02,120.04,LISTING_BREAKOUT_LOW_VOL,80,110.44,130.71,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 535,621 vs avg 1,583,493 (need 1.5x); Low volume vs listing day: 0.0x (need 1.2x)",05:12:36,2.1.0,listing_day
LISTING_JSLL_20260302_0638,JSLL,2026-03-02,603.7,LISTING_BREAKOUT_LOW_VOL,80,555.4,653.69,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 315,104 vs avg 215,830 (need 1.5x); Low volume vs listing day: 1.2x (need 1.2x)",06:38:22,2.1.0,listing_day
LISTING_EBGNG_20260302_0715,EBGNG,2026-03-02,366.5,LISTING_BREAKOUT_LOW_VOL,80,337.18,400.35,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 219,073 vs avg 212,380 (need 1.5x); Low volume vs listing day: 0.0x (need 1.2x)",07:15:16,2.1.0,listing_day
LISTING_ADVAIT_20260302_0719,ADVAIT,2026-03-02,1610.0,LISTING_BREAKOUT_LOW_VOL,80,1481.2,1739.08,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 10,162 vs avg 31,566 (need 1.5x); Low volume vs listing day: 0.2x (need 1.2x)",07:19:20,2.1.0,listing_day
LISTING_MWL_20260302_0828,MWL,2026-03-02,269.05,LISTING_BREAKOUT,100,247.53,296.75,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,,08:28:14,2.1.0,listing_day
LISTING_BUILDPRO_20260302_1009,BUILDPRO,2026-03-02,912.3,LISTING_BREAKOUT_LOW_VOL,80,839.32,997.8,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 24,623 vs avg 83,547 (need 1.5x); Low volume vs listing day: 0.1x (need 1.2x)",10:09:07,2.1.0,listing_day
WATCHLIST_GAUDIUMIVF_20260302,GAUDIUMIVF,2026-03-02,0.0,WATCHLIST,0,0.0,87.15,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260303,SANATHAN,2026-03-03,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_GAUDIUMIVF_20260303,GAUDIUMIVF,2026-03-03,0.0,WATCHLIST,0,0.0,87.15,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260304,SANATHAN,2026-03-04,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260305,SANATHAN,2026-03-05,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260306,SANATHAN,2026-03-06,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
LISTING_RNBDENIMS_20260309_0515,RNBDENIMS,2026-03-09,132.19,LISTING_BREAKOUT_LOW_VOL,80,121.61,153.62,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 51,629 vs avg 2,482,644 (need 1.5x); Low volume vs listing day: 0.3x (need 1.2x)",05:15:03,2.1.0,listing_day
WATCHLIST_SANATHAN_20260310,SANATHAN,2026-03-10,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260311,SANATHAN,2026-03-11,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_SANATHAN_20260312,SANATHAN,2026-03-12,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_OMNI_20260312,OMNI,2026-03-12,0.0,WATCHLIST,0,0.0,224.7,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_VIDYAWIRES_20260312,VIDYAWIRES,2026-03-12,0.0,WATCHLIST,0,0.0,58.45,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
LISTING_VIDYAWIRES_20260312_0756,VIDYAWIRES,2026-03-12,58.73,LISTING_BREAKOUT_LOW_VOL,80,54.03,67.18,ACTIVE,,0,0,0,LISTING_DAY_BREAKOUT,"VOLUME_CAUTION: Low volume spike: 2,534,817 vs avg 2,133,839 (need 1.5x); Low volume vs listing day: 0.0x (need 1.2x)",07:56:42,2.1.0,listing_day
WATCHLIST_SANATHAN_20260313,SANATHAN,2026-03-13,0.0,WATCHLIST,0,0.0,423.0,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_OMNI_20260313,OMNI,2026-03-13,0.0,WATCHLIST,0,0.0,224.7,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
WATCHLIST_AEPL_20260313,AEPL,2026-03-13,0.0,WATCHLIST,0,0.0,18.98,WATCH,,0,0,0,WATCHLIST,Within 5% of listing high,,,
