symbol,company,listing_date
AADHARHFC,Aadhar Housing Finance Limited,2024-05-15
ABCOTS,A B Cotspin India Limited,2025-09-24
ABDL,Allied Blenders and Distillers Limited,2024-07-02
ABINFRA,A B Infrabuild Limited,2024-11-08
ABLBL,Aditya Birla Lifestyle Brands Limited,2025-06-23
ACMESOLAR,Acme Solar Holdings Limited,2024-11-13
AEGISVOPAK,Aegis Vopak Terminals Limited,2025-06-02
AFCONS,Afcons Infrastructure Limited,2024-11-04
AFFORDABLE,Affordable Robotic & Automation Limited,2024-10-23
AFIL,Akme Fintrade (India) Limited,2024-06-26
AGARWALEYE,Dr. Agarwal's Health Care Limited,2025-02-04
AGIIL,Agi Infra Limited,2024-07-15
AHCL,Anlon Healthcare Limited,2025-09-03
AIIL,Authum Investment & Infrastructure Limited,2024-04-23
AJAXENGG,Ajax Engineering Limited,2025-02-17
AKUMS,Akums Drugs and Pharmaceuticals Limited,2024-08-06
ALLTIME,All Time Plastics Limited,2025-08-14
AMANTA,Amanta Healthcare Limited,2025-09-09
AMNPLST,Amines & Plasticizers Limited,2023-11-10
ANTHEM,Anthem Biosciences Limited,2025-07-21
ANUHPHR,Anuh Pharma Limited,2024-12-20
ARFIN,Arfin India Limited,2025-07-22
ARISINFRA,Arisinfra Solutions Limited,2025-06-25
ARKADE,Arkade Developers Limited,2024-09-24
ARSSBL,Anand Rathi Share and Stock Brokers Limited,2025-09-30
ASKAUTOLTD,ASK Automotive Limited,2023-11-15
ATHERENERG,Ather Energy Limited,2025-05-06
ATLANTAELE,Atlanta Electricals Limited,2025-09-29
AVANTEL,Avantel Limited,2024-07-31
AVL,Aditya Vision Limited,2024-11-06
AWFIS,Awfis Space Solutions Limited,2024-05-30
AZAD,Azad Engineering Limited,2023-12-28
BAJAJHFL,Bajaj Housing Finance Limited,2024-09-16
BAJAJINDEF,Indef Manufacturing Limited,2025-02-21
BAJEL,Bajel Projects Limited,2023-12-19
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,2024-09-12
BALUFORGE,Balu Forge Industries Limited,2024-04-29
BANSALWIRE,Bansal Wire Industries Limited,2024-07-10
BELLACASA,Bella Casa Fashion & Retail Limited,2025-07-18
BELRISE,Belrise Industries Limited,2025-05-28
BESTAGRO,Best Agrolife Limited,2024-04-10
BHARATSE,Bharat Seats Limited,2025-03-24
BHARTIHEXA,Bharti Hexacom Limited,2024-04-12
BLACKBUCK,BLACKBUCK LIMITED,2024-11-22
BLSE,BLS E-Services Limited,2024-02-06
BLUEJET,Blue Jet Healthcare Limited,2023-11-01
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,2025-08-19
BLUSPRING,Bluspring Enterprises Limited,2025-06-11
BORANA,Borana Weaves Limited,2025-05-27
BOROSCI,Borosil Scientific Limited,2024-06-07
BRIGHOTEL,Brigade Hotel Ventures Limited,2025-07-31
CAPITALSFB,Capital Small Finance Bank Limited,2024-02-14
CARRARO,Carraro India Limited,2024-12-30
CEIGALL,Ceigall India Limited,2024-08-08
CELLO,Cello World Limited,2023-11-06
CEWATER,Concord Enviro Systems Limited,2024-12-27
CHEMBONDCH,Chembond Chemicals Limited,2025-07-23
CIFL,Capital India Finance Limited,2025-04-17
COMSYN,Commercial Syn Bags Limited,2024-01-23
CPEDU,Career Point Edutech Limited,2025-09-05
CPPLUS,Aditya Infotech Limited,2025-08-05
CRIZAC,Crizac Limited,2025-07-09
CURAA,Cura Technologies Limited,2025-03-21
DAMCAPITAL,Dam Capital Advisors Limited,2024-12-27
DAVANGERE,Davangere Sugar Company Limited,2024-01-25
DBEIL,Deepak Builders & Engineers India Limited,2024-10-28
DDEVPLSTIK,Ddev Plastiks Industries Limited,2025-01-15
DEEDEV,DEE Development Engineers Limited,2024-06-26
DENTA,Denta Water and Infra Solutions Limited,2025-01-29
DEVX,Dev Accelerator Limited,2025-09-17
DIFFNKG,Diffusion Engineers Limited,2024-10-04
DIGIDRIVE,Digidrive Distributors Limited,2024-01-10
DIGITIDE,Digitide Solutions Limited,2025-06-11
DOLATALGO,Dolat Algotech Limited,2024-01-12
DOMS,DOMS Industries Limited,2023-12-20
EBGNG,GNG Electronics Limited,2025-07-30
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,2024-09-04
EFCIL,EFC (I) Limited,2025-08-20
EIEL,Enviro Infra Engineers Limited,2024-11-29
ELLEN,Ellenbarrie Industrial Gases Limited,2025-07-01
EMCURE,Emcure Pharmaceuticals Limited,2024-07-10
ENRIN,Siemens Energy India Limited,2025-06-19
ENTERO,Entero Healthcare Solutions Limited,2024-02-16
EPACK,EPACK Durable Limited,2024-01-30
ESAFSFB,ESAF Small Finance Bank Limited,2023-11-10
EUREKAFORB,Eureka Forbes Limited,2024-09-11
EUROBOND,Euro Panel Products Limited,2025-08-01
EUROPRATIK,Euro Pratik Sales Limited,2025-09-23
EXICOM,Exicom Tele-Systems Limited,2024-03-05
FEDFINA,Fedbank Financial Services Limited,2023-11-30
FILATFASH,Filatex Fashions Limited,2024-05-06
FINKURVE,Finkurve Financial Services Limited,2025-10-01
FIRSTCRY,Brainbees Solutions Limited,2024-08-13
FISCHER,Fischer Medical Ventures Limited,2025-07-10
FLAIR,Flair Writing Industries Limited,2023-12-01
FORCEMOT,FORCE MOTORS LTD,2024-02-14
GALAPREC,Gala Precision Engineering Limited,2024-09-09
GANDHAR,Gandhar Oil Refinery (India) Limited,2023-11-30
GANESHCP,Ganesh Consumer Products Limited,2025-09-29
GARUDA,Garuda Construction and Engineering Limited,2024-10-15
GCSL,Gretex Corporate Services Limited,2025-09-04
GEMAROMA,Gem Aromatics Limited,2025-08-26
GKENERGY,GK Energy Limited,2025-09-26
GLOBALE,Globale Tessile Limited,2024-08-27
GLOBECIVIL,Globe Civil Projects Limited,2025-07-01
GLOSTERLTD,Gloster Limited,2024-04-26
GODAVARIB,Godavari Biorefineries Limited,2024-10-30
GODIGIT,Go Digit General Insurance Limited,2024-05-23
GOPAL,Gopal Snacks Limited,2024-03-14
GPTHEALTH,GPT Healthcare Limited,2024-02-29
GUJTHEM,Gujarat Themis Biosyn Limited,2025-02-25
HAPPYFORGE,Happy Forgings Limited,2023-12-27
HDBFS,HDB Financial Services Limited,2025-07-02
HEXT,Hexaware Technologies Limited,2025-02-19
HILINFRA,Highway Infrastructure Limited,2025-08-12
HONASA,Honasa Consumer Limited,2023-11-07
HYUNDAI,Hyundai Motor India Limited,2024-10-22
IGCL,Indogulf Cropsciences Limited,2025-07-03
IGIL,International Gemmological Institute (India) Limited,2024-12-20
IKS,Inventurus Knowledge Solutions Limited,2024-12-19
INDGN,Indegene Limited,2024-05-13
INDIASHLTR,India Shelter Finance Corporation Limited,2023-12-20
INDIQUBE,Indiqube Spaces Limited,2025-07-30
INDOFARM,Indo Farm Equipment Limited,2025-01-07
INDOUS,Indo Us Biotech Limited,2024-09-27
INNOVACAP,Innova Captab Limited,2023-12-29
INNOVANA,Innovana Thinklabs Limited,2024-12-17
INOXINDIA,INOX India Limited,2023-12-21
INTERARCH,Interarch Building Solutions Limited,2024-08-26
IREDA,Indian Renewable Energy Development Agency Limited,2023-11-29
IRMENERGY,IRM Energy Limited,2023-10-26
ISHANCH,Ishan Dyes and Chemicals Limited,2025-03-24
ITCHOTELS,ITC Hotels Limited,2025-01-29
IVALUE,Ivalue Infosolutions Limited,2025-09-25
IXIGO,Le Travenues Technology Limited,2024-06-18
JARO,Jaro Institute of Technology Management and Research Limited,2025-09-30
JGCHEM,J.G.Chemicals Limited,2024-03-13
JNKINDIA,JNK India Limited,2024-04-30
